"","Group.1","score","facility_a","facility_c","facility_i","facility_n","pe_descrip","coords.x1","coords.x2"
"15063","FA0064127",96,"1933 DURFEE AVE","SOUTH EL MONTE","FA0064127","JACK IN THE BOX #3211","RESTAURANT (61-150) SEATS MODERATE RISK",-118.030857,34.044898
"15064","FA0032381",95.4444444444444,"3655 W 3RD ST","LOS ANGELES","FA0032381","SEA ROYAL HOUSE","RESTAURANT (0-30) SEATS HIGH RISK",-118.295645,34.06903
"15065","FA0045267",89.1666666666667,"1622 S GAFFEY ST STE 101","SAN PEDRO","FA0045267","PUESTA DEL SOL","RESTAURANT (61-150) SEATS HIGH RISK",-118.292386,33.72908
"15066","FA0043848",92.2,"22815 HAWTHORNE BLVD","TORRANCE","FA0043848","PHO HANA RESTAURANT","RESTAURANT (31-60) SEATS HIGH RISK",-118.351201,33.819806
"15067","FA0160919",97.6666666666667,"6607 FALLBROOK AVE","WEST HILLS","FA0160919","OUMI SUSHI @ SPROUTS 272","RESTAURANT (0-30) SEATS HIGH RISK",-118.623359,34.18909
"15068","FA0044439",91.2857142857143,"16159 PARTHENIA ST","NORTH HILLS","FA0044439","POPEYES CHICKEN #3305","RESTAURANT (0-30) SEATS MODERATE RISK",-118.484667,34.228393
"15069","FA0050623",93.4285714285714,"4755 W WASHINGTON BLVD","LOS ANGELES","FA0050623","TAQUERIA JALISCO","RESTAURANT (0-30) SEATS HIGH RISK",-118.342771,34.03988
"15070","FA0053748",94.8333333333333,"2833 W AVENUE L","LANCASTER","FA0053748","VINCE'S PASTA AND PIZZA","RESTAURANT (151 + ) SEATS HIGH RISK",-118.181617,34.660329
"15071","FA0149300",91.2,"2705 E CARSON ST","CARSON","FA0149300","ALEA CAFE","RESTAURANT (31-60) SEATS HIGH RISK",-118.217938,33.831735
"15072","FA0066287",93.8333333333333,"23755 MALIBU RD STE 600","MALIBU","FA0066287","MALIBU YOGURT & ICECREAM","RESTAURANT (0-30) SEATS MODERATE RISK",-118.701365,34.031312
"15073","FA0060717",96.5,"14446 MAGNOLIA BLVD","SHERMAN OAKS","FA0060717","DELI MEX","RESTAURANT (0-30) SEATS HIGH RISK",-118.448011,34.164858
"15074","FA0072526",90.4,"10929 W PICO BLVD","LOS ANGELES","FA0072526","THE WELLES BOURNE","RESTAURANT (61-150) SEATS HIGH RISK",-118.430436,34.03921
"15075","FA0166092",97.2,"831 SEPULVEDA BLVD","TORRANCE","FA0166092","BURGER KING #13132","RESTAURANT (31-60) SEATS MODERATE RISK",-118.290053,33.810109
"15076","FA0071203",97,"2800 E 1ST ST","LOS ANGELES","FA0071203","SUBWAY #46347","RESTAURANT (0-30) SEATS MODERATE RISK",-118.204671,34.041445
"15077","FA0009478",93.8,"9128 W PICO BLVD","LOS ANGELES","FA0009478","BEVERLYWOOD BAKERY","RESTAURANT (0-30) SEATS MODERATE RISK",-118.390798,34.055259
"15078","FA0137447",92.1666666666667,"3182 W PICO BLVD","LOS ANGELES","FA0137447","MELKAM ETHIOPIAN RESTAURANT","RESTAURANT (0-30) SEATS HIGH RISK",-118.311148,34.047181
"15079","FA0174479",91,"9048 WOODLEY AVE","NORTH HILLS","FA0174479","PREM'S THAI KITCHEN","RESTAURANT (31-60) SEATS HIGH RISK",-118.485062,34.235173
"15080","FA0248476",94.6,"501 W EL SEGUNDO BLVD # 103","LOS ANGELES","FA0248476","LITTLE CAESARS #5771","RESTAURANT (0-30) SEATS MODERATE RISK",-118.28321,33.91642
"15081","FA0038063",96.1666666666667,"3231 TWEEDY BLVD","SOUTH GATE","FA0038063","MARY'S BIONI COS Y RASPADOS","RESTAURANT (0-30) SEATS MODERATE RISK",-118.213895,33.945114
